AU,Male_Corr,Male_p,Female_Corr,Female_p,Difference
AU09_r,0.1147640331413623,0.25073144486778104,-0.17948606633919534,0.09622066459619165,0.29425009948055764
AU14_r,0.0356842952053465,0.7217915421268841,-0.14653451298021353,0.17562876312237638,0.18221880818556002
AU12_r,-0.0633543287925745,0.5269965289466185,0.10206664188968725,0.3468564249664355,0.16542097068226175
AU25_r,0.041721093688320464,0.6771534319310153,-0.08128203773433185,0.454205442278971,0.12300313142265232
AU10_r,-0.07032766599644268,0.4824352434721765,-0.014648743202279577,0.8928764750402665,0.0556789227941631
AU01_r,-0.06369784457205958,0.524753945431045,-0.11795573121336597,0.27654723775081447,0.05425788664130639
AU04_r,0.013142102784848897,0.8956973428308576,0.061509655360995855,0.5714196012874846,0.04836755257614696
AU05_r,-0.015402499404491128,0.8778860734375176,0.013756949832947084,0.8993628082438706,0.029159449237438212
AU17_r,-0.14059295181578677,0.1587079335626215,-0.11203207155534015,0.3015532952228274,0.02856088026044662
AU15_r,-0.08438975163464968,0.39906278302392995,-0.11189745532009522,0.30213822058152956,0.027507703685445542
AU06_r,-0.030684811142419097,0.759487312532488,-0.013804348887635692,0.8990178878718047,0.016880462254783405
AU02_r,-0.06727363459869695,0.5016993160603065,-0.051002092190922194,0.638969034461819,0.01627154240777476
AU26_r,0.013239118687826259,0.894931756261497,-0.0012638294501489122,0.9907306113361883,0.014502948137975171
AU20_r,0.03436754626577391,0.7316595940247993,0.04852548500873362,0.6553573108942142,0.01415793874295971
